sep=;
Time of day;Time (s);LabSmith_4AM01:  1:P23037 (kPa); 1:Comp. Temp (C); 2:P23038 (kPa); 2:Comp. Temp (C);
13:17:43;0;97.986;24.242;63.897;24.823;
13:17:44;0.515;94.930;24.242;61.237;24.823;
13:17:44;1.015;99.826;24.246;65.347;24.833;
13:17:45;1.531;102.832;24.246;66.755;24.833;
13:17:45;2.047;96.348;24.249;62.253;24.835;
13:17:46;2.547;98.575;24.249;61.186;24.835;
13:17:46;3.062;96.575;24.249;59.970;24.835;
13:17:47;3.562;96.932;24.249;59.658;24.835;
13:17:47;4.078;91.530;24.246;58.339;24.840;
13:17:48;4.578;89.265;24.246;57.085;24.840;
13:17:48;5.093;87.396;24.249;55.425;24.847;
13:17:49;5.593;81.879;24.249;52.012;24.847;
13:17:49;6.109;87.261;24.249;53.683;24.847;
13:17:50;6.609;85.624;24.249;53.691;24.847;
13:17:50;7.125;82.236;24.251;53.738;24.850;
13:17:51;7.64;82.191;24.251;52.986;24.850;
13:17:51;8.14;84.568;24.255;52.122;24.857;
13:17:52;8.656;83.848;24.255;53.520;24.857;
13:17:52;9.172;82.710;24.254;52.917;24.855;
13:17:53;9.672;82.192;24.254;49.992;24.855;
13:17:54;10.187;83.611;24.254;53.255;24.855;
13:17:54;10.703;81.452;24.254;53.306;24.855;
13:17:55;11.203;81.745;24.254;52.260;24.858;
13:17:55;11.718;76.906;24.254;49.326;24.858;
13:17:56;12.218;83.647;24.256;51.636;24.864;
13:17:56;12.734;81.512;24.256;53.365;24.864;
13:17:57;13.25;82.340;24.256;52.398;24.864;
13:17:57;13.75;77.911;24.256;49.081;24.864;
13:17:58;14.265;80.688;24.256;52.868;24.865;
13:17:58;14.765;81.898;24.256;51.922;24.865;
13:17:59;15.265;80.282;24.261;52.675;24.875;
13:17:59;15.781;80.499;24.261;52.065;24.875;
13:18:00;16.281;76.249;24.261;49.141;24.875;
13:18:00;16.797;77.253;24.261;49.601;24.875;
13:18:01;17.312;72.573;24.257;46.616;24.879;
13:18:01;17.812;66.472;24.257;41.120;24.879;
13:18:02;18.312;63.025;24.256;40.450;24.886;
13:18:02;18.828;61.975;24.256;39.617;24.886;
13:18:03;19.328;59.039;24.254;36.717;24.886;
13:18:03;19.843;55.212;24.254;36.482;24.886;
13:18:04;20.343;56.978;24.254;37.274;24.886;
13:18:04;20.859;55.780;24.254;34.822;24.886;
13:18:05;21.359;55.816;24.254;35.854;24.887;
13:18:05;21.859;54.719;24.254;35.628;24.887;
